tweet_id,created_at,username,sentiment_raw,platform,tweet_text,likes,retweets,country
1001,2024-02-01 09:15:00,@alice,positive,web,Great work @team! Version 2.0 https://example.com is so useful 🔥,124,3,US
1002,01/15/2024, Bob ,pos,Web,The new dashboard update looks clean and helpful.,45,1,USA
1003,15 January 2024,carol,negative,WEB,App crash again after the update. This is terrible.,12,0,United States
1004,2024-02-03T14:30:00,@dave,neg,mobile,Why does the dashboard freeze every time I open reports?,"1,200",22,us
1005,2024/02/04 18:05,erin, Neutral ,iOS,Trying the new filter today. Not sure yet.,8,,U.S.
1006,2024-02-05 11:11:11,@frank,positive,ios,Love the dark mode 😍 #dashboard https://viz.example.org/app,67,5,UK
1007,"February 6, 2024 8:00",grace,POS,android,Version 3 shipped! 10 new charts and better labels.,unknown,4,uk
1008,2024-02-07 21:45:00,  Hank,negative,Android,Another software crash. Great. Just great.,-5,-2,Canada
1009,2024-02-08,@ina,neutral, Mobile ,Logged 3 hours on the dashboard. Fine I guess.,0,0,CA
1010,08-02-2024 16:20,jake,pos,web,Really useful export button @productteam #analytics,33,2,United Kingdom
1011,2024-02-09 07:01:00,@kate,negative,WEB,,9,1,US
1012,2024-02-10 12:00:00,leo,positive,ios,   Wow   this   update   is   actually   fast   ,21,1,USA
1013,not-a-date,@maya,neg,android,Can't login. Error 500 after clicking https://app.example.com,14,7,us
1014,2024-02-12 19:19:19,nina,neutral,Web,Saw 4 mentions of the dashboard in class today.,5,,UK
1015,2024-02-13T03:03:03Z,@omar,positive,mobile,Best visualization tool I used in 2024. Thanks @design!,88,9,Canada
1016,13 Feb 2024 22:10,pat,negative,iOS,The crash report is useless. Fix the dashboard please.,2,0,CA
1017,2024-02-14 10:10:10,@quinn,pos,Android,Shipped my first D3 chart with this data 🎉 #dataviz,54,6,United States
1018,2024-02-15 15:15:15,riley,Neutral,web,Reading the docs at www.example.com/help before lab.,3,0,US
1019,2024-02-16 08:08:08,  @sam  ,negative,WEB,Retweets metric shows -1. That cannot be right.,11,-1,uk
1020,16/02/2024 20:00,tess,positive,ios,Update 1.5 made filtering 2x faster. Impressive!,76,8,United Kingdom
1021,2024-02-17 17:17:17,@uma,neg,android,,4,0,USA
1022,2024-02-18 06:06:06,vic,pos,Mobile,Follow @stats401 for more dashboard tips #lab4,19,2,U.S.
1023,Feb 19 2024 13:45,@wes,neutral,web,"The color scale is okay, nothing special.",6,0,Canada
1024,2024-02-20 09:00:00,xena,positive,iOS,So many useful templates. Saved me 20 minutes.,41,3,CA
1025,2024-02-21T11:11:00,@yara,negative,Android,Hashtags and mentions broke the search box 😭,13,1,US
1026,2024-02-22 16:40:00,zion,POS,web,Absolutely love this new update!,99,12,USA
1027,22-02-2024,@ada,neutral,mobile,Number of likes displayed as unknown today.,unknown,0,UK
1028,2024-02-23 12:12:12,ben,neg,ios,Crash on launch. 0 stars until this is fixed.,7,4,uk
1029,2024-02-24 18:30:00,@cia,positive,android,The dashboard is finally useful for weekly reports.,28,2,United States
1030,2024-02-25 07:45:00,drew,negative,Web,,1,0,us
1031,2024-02-26 14:14:14,  eve,pos, WEB ,Check www.example.com for the 5.0 release notes.,16,1,U.S.
1032,26 Feb 2024,@finn,Neutral,iOS,"Opened the app, closed the app. That is all.",2,,Canada
1033,2024-02-27 19:00:00,gia,positive,Android,Tooltip delay is gone in version 4. Nice work @dev.,37,3,CA
1034,2024-02-28 08:20:00,@hugo,neg,mobile,Malformed strings everywhere. Dates won't parse.,18,2,UK
1035,2024-02-29 10:00:00,ivy,positive,web,Leap day deploy worked. Charts are live 🚀,63,7,United Kingdom
1036,2024-03-01 11:30:00,@jules,negative,ios,"I expected this to be terrible, and it was.",10,1,US
1037,"March 2, 2024",kip,pos,android,"I expected this to be terrible, but it was actually amazing.",150,11,USA
1038,2024-03-03 09:09:09,@liv,neutral,Web,Meeting notes: 12 students used the dashboard.,4,0,Canada
1039,2024-03-04 13:13:13,mo,positive,Mobile,Export to CSV is now 3 seconds. Huge win.,22,2,CA
1040,2024-03-05 17:50:00,@nia,neg,iOS,"Do not like this movie. Wait, this update. Same energy.",8,0,uk
1001,2024-02-01 09:15:00,@alice,positive,web,Great work @team! Version 2.0 https://example.com is so useful 🔥,124,3,US
1026,2024-02-22 16:40:00,zion,POS,web,Absolutely love this new update!,99,12,USA
1041,2024-03-06 12:00:00,@oak,positive,android,First copy of tweet 1041 about a useful dashboard update.,15,1,US
1041,2024-03-06 15:00:00,@oak,pos,Android,Second copy of tweet 1041 with a later timestamp.,15,1,USA
1042,2024-03-07 08:08:08,pia,neutral,web,Need more examples with numbers 100 and 200 in tweets.,"1,050",5,United States
1043,07 March 2024 19:40,@raj,negative,mobile,Great. Another software crash.,25,6,US
1044,2024-03-08 10:10:10,sky,positive,iOS,I like this movie. Also I like this dashboard a lot.,31,2,UK
1045,2024-03-09 11:11:11,@tao,neg,Android,I do not like this movie. The dashboard is worse.,17,3,uk
1046,2024-03-10 16:16:16,uma2,pos,web,"Tokenization test: running, ran, runs. Lemmatize me.",9,0,Canada
1047,invalid-date-value,@val,neutral,Web,Please ignore this timestamp if it cannot be parsed.,0,0,CA
