section,cluster_name,count,proportion,chapter
A 21st Century Curriculum,University Identity and Study Away,1,1.0,Part 2: A Liberal Arts Education at Duke Kunshan University
A Liberal Arts College Experience,University Identity and Study Away,1,1.0,Part 2: A Liberal Arts Education at Duke Kunshan University
Academic Advising,"Policy, Health, and Society",2,0.5,Part 7: Academic Advising and Support
Academic Advising,University Identity and Study Away,2,0.5,Part 7: Academic Advising and Support
Academic Integrity,Academic Standing and Withdrawal,2,0.4,Part 6: Academic Procedures and Information
Academic Integrity,Quantitative and Physical Sciences,1,0.2,Part 6: Academic Procedures and Information
Academic Integrity,University Identity and Study Away,2,0.4,Part 6: Academic Procedures and Information
Academic Recognition and Honors,Credit and Degree Requirements,3,0.75,Part 6: Academic Procedures and Information
Academic Recognition and Honors,University Identity and Study Away,1,0.25,Part 6: Academic Procedures and Information
Academic Resource Center,Credit and Degree Requirements,1,0.3333333333333333,Part 7: Academic Advising and Support
Academic Resource Center,"Language, Media, and Skills",2,0.6666666666666666,Part 7: Academic Advising and Support
"Academic Warning, Probation, and Suspension for Students in the Class of 2025 and Beyond",Academic Standing and Withdrawal,6,0.6666666666666666,Part 6: Academic Procedures and Information
"Academic Warning, Probation, and Suspension for Students in the Class of 2025 and Beyond",Credit and Degree Requirements,3,0.3333333333333333,Part 6: Academic Procedures and Information
"Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",Academic Standing and Withdrawal,10,0.9090909090909091,Part 6: Academic Procedures and Information
"Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",Credit and Degree Requirements,1,0.09090909090909091,Part 6: Academic Procedures and Information
Accommodations,Academic Calendar and Deadlines,1,0.3333333333333333,Part 9: Student Affairs and Campus Life
Accommodations,Academic Standing and Withdrawal,1,0.3333333333333333,Part 9: Student Affairs and Campus Life
Accommodations,University Identity and Study Away,1,0.3333333333333333,Part 9: Student Affairs and Campus Life
Animating Principles,"Language, Media, and Skills",1,0.3333333333333333,Part 2: A Liberal Arts Education at Duke Kunshan University
Animating Principles,"Policy, Health, and Society",1,0.3333333333333333,Part 2: A Liberal Arts Education at Duke Kunshan University
Animating Principles,University Identity and Study Away,1,0.3333333333333333,Part 2: A Liberal Arts Education at Duke Kunshan University
Application Requirements,Academic Calendar and Deadlines,1,0.2,"Part 4: Admission, Scholarships and Financial Aid"
Application Requirements,Credit and Degree Requirements,3,0.6,"Part 4: Admission, Scholarships and Financial Aid"
Application Requirements,University Identity and Study Away,1,0.2,"Part 4: Admission, Scholarships and Financial Aid"
Application Timelines,Academic Calendar and Deadlines,5,0.8333333333333334,"Part 4: Admission, Scholarships and Financial Aid"
Application Timelines,University Identity and Study Away,1,0.16666666666666666,"Part 4: Admission, Scholarships and Financial Aid"
Arts and Culture,University Identity and Study Away,1,1.0,Part 9: Student Affairs and Campus Life
Athletics & University Sports,"Language, Media, and Skills",3,0.6,Part 9: Student Affairs and Campus Life
Athletics & University Sports,University Identity and Study Away,2,0.4,Part 9: Student Affairs and Campus Life
Blue Oasis Student Center,University Identity and Study Away,2,1.0,Part 9: Student Affairs and Campus Life
Campus Engagement,University Identity and Study Away,1,1.0,Part 9: Student Affairs and Campus Life
Campus Health Clinic,Academic Standing and Withdrawal,1,1.0,Part 9: Student Affairs and Campus Life
Campus Programs,University Identity and Study Away,2,1.0,Part 9: Student Affairs and Campus Life
Career Services,"Language, Media, and Skills",1,0.2,"Part 8: Career Services, Study Away, and Research Opportunities"
Career Services,University Identity and Study Away,4,0.8,"Part 8: Career Services, Study Away, and Research Opportunities"
Changes in Status,Academic Standing and Withdrawal,7,0.5833333333333334,Part 6: Academic Procedures and Information
Changes in Status,Credit and Degree Requirements,2,0.16666666666666666,Part 6: Academic Procedures and Information
Changes in Status,University Identity and Study Away,3,0.25,Part 6: Academic Procedures and Information
Chinese Student Services and Student Mobility,University Identity and Study Away,2,1.0,Part 9: Student Affairs and Campus Life
Class Attendance and Missed Work,Academic Standing and Withdrawal,3,1.0,Part 6: Academic Procedures and Information
Class Scheduling,Academic Calendar and Deadlines,1,1.0,Part 6: Academic Procedures and Information
