source,target,travel_time_min,route_type
s5,s2,5,Metro
s5,s3,4,Metro
s5,s7,6,Metro
s5,s8,3,Metro
s1,s2,12,Shuttle
s4,s8,5,Metro
s6,s8,4,Metro
s9,s8,10,Shuttle
s10,s9,15,Shuttle
s15,s12,5,Metro
s15,s13,6,Metro
s15,s17,5,Metro
s15,s18,3,Metro
s11,s12,13,Shuttle
s14,s18,5,Metro
s16,s18,4,Metro
s19,s18,9,Shuttle
s20,s19,17,Shuttle
s25,s22,5,Metro
s25,s23,6,Metro
s25,s24,4,Metro
s25,s28,7,Metro
s21,s22,14,Shuttle
s26,s25,5,Metro
s27,s26,8,Shuttle
s29,s28,10,Shuttle
s30,s29,20,Shuttle
s35,s32,5,Metro
s35,s33,4,Metro
s35,s34,6,Metro
s35,s38,8,Metro
s31,s32,11,Shuttle
s36,s35,5,Metro
s37,s36,7,Shuttle
s39,s38,9,Shuttle
s40,s39,13,Shuttle
s45,s42,5,Metro
s45,s43,6,Metro
s45,s44,4,Metro
s45,s48,7,Metro
s41,s42,12,Shuttle
s46,s45,5,Metro
s47,s46,8,Shuttle
s49,s48,10,Shuttle
s50,s49,13,Shuttle
s5,s15,12,Express
s5,s25,7,Metro
s5,s35,6,Metro
s5,s45,16,Express
s15,s25,18,Express
