title,category,price_gbp,star_rating
It's Only the Himalayas,Travel,45.17,Two
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,Four
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,Three
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,Two
Under the Tuscan Sun,Travel,37.33,Three
A Summer In Europe,Travel,44.34,Two
The Great Railway Bazaar,Travel,30.54,One
A Year in Provence (Provence #1),Travel,56.88,Four
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,One
Neither Here nor There: Travels in Europe,Travel,38.95,Three
"1,000 Places to See Before You Die",Travel,26.08,Five
Sharp Objects,Mystery,47.82,Four
"In a Dark, Dark Wood",Mystery,19.63,One
The Past Never Ends,Mystery,56.5,Four
A Murder in Time,Mystery,16.64,One
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,Four
The Last Mile (Amos Decker #2),Mystery,54.21,Two
That Darkness (Gardiner and Renner #1),Mystery,13.92,One
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,One
A Time of Torment (Charlie Parker #14),Mystery,48.35,Five
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,Two
Poisonous (Max Revere Novels #3),Mystery,26.8,Three
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,Four
Most Wanted,Mystery,35.28,Three
Hide Away (Eve Duncan #20),Mystery,11.84,One
Boar Island (Anna Pigeon #19),Mystery,59.48,Three
The Widow,Mystery,27.26,Two
Playing with Fire,Mystery,13.71,Three
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,Five
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,Five
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,Four
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,Four
In the Woods (Dublin Murder Squad #1),Mystery,38.38,Two
The Silkworm (Cormoran Strike #2),Mystery,23.05,Five
The Exiled,Mystery,43.45,Three
The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,One
Extreme Prey (Lucas Davenport #26),Mystery,25.4,Three
Career of Evil (Cormoran Strike #3),Mystery,24.72,Two
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7,Four
The Girl You Lost,Mystery,12.29,Five
The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,Three
Blood Defense (Samantha Brinkman #1),Mystery,20.3,Three
1st to Die (Women's Murder Club #1),Mystery,53.98,One
Tipping the Velvet,Historical Fiction,53.74,One
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,Three
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,Five
The House by the Lake,Historical Fiction,36.95,One
Mrs. Houdini,Historical Fiction,30.25,Five
The Marriage of Opposites,Historical Fiction,28.08,Four
Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,Three
"Love, Lies and Spies",Historical Fiction,20.55,Two
A Paris Apartment,Historical Fiction,39.01,Four
Lilac Girls,Historical Fiction,17.28,Two
The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,Three
The Invention of Wings,Historical Fiction,37.34,One
World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,Four
The Passion of Dolssa,Historical Fiction,28.32,Five
Girl With a Pearl Earring,Historical Fiction,26.77,One
Voyager (Outlander #3),Historical Fiction,21.07,Five
The Red Tent,Historical Fiction,35.66,Five
The Last Painting of Sara de Vos,Historical Fiction,55.55,Two
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,One
Girl in the Blue Coat,Historical Fiction,46.83,Two
Between Shades of Gray,Historical Fiction,20.79,Five
While You Were Mine,Historical Fiction,41.32,Five
The Secret Healer,Historical Fiction,34.56,Three
Starlark,Historical Fiction,25.83,Three
Lost Among the Living,Historical Fiction,27.7,Four
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,Five
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,One
This One Summer,Sequential Art,19.49,Four
The Nameless City (The Nameless City #1),Sequential Art,38.16,Four
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,Two
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.4,Three
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61,Five
"Pop Gun War, Volume 1: Gift",Sequential Art,18.97,One
Patience,Sequential Art,10.16,Three
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,15.44,Four
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,48.41,One
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,46.91,Two
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,45.61,Three
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,19.92,Two
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,29.17,Two
I am a Hero Omnibus Volume 1,Sequential Art,54.63,Three
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,22.11,Two
Danganronpa Volume 1,Sequential Art,51.99,Four
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72,Four
Camp Midnight,Sequential Art,17.08,Four
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,37.92,Two
The Shadow Hero (The Shadow Hero),Sequential Art,33.14,One
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,41.62,Four
Batman: The Long Halloween (Batman),Sequential Art,36.5,Two
Batman: The Dark Knight Returns (Batman),Sequential Art,15.38,Five
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,37.34,Four
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,53.9,One
Through the Woods,Sequential Art,25.38,Two
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,11.89,Five
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,35.43,Four
Robin War,Sequential Art,47.82,Three
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,25.48,Two
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,38.39,Two
Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,51.51,Two
El Deafo,Sequential Art,57.62,Five
Batman: Europa,Sequential Art,32.01,Two
Art Ops Vol. 1,Sequential Art,48.8,Three
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,10.9,Two
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,33.95,Four
Roller Girl,Sequential Art,14.1,Five
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,19.57,One
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,20.96,Four
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,36.39,Three
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,16.33,One
"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,52.41,One
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Sequential Art,27.88,Two
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Sequential Art,50.44,Four
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,14.41,Three
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,55.55,Five
"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,21.57,Five
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,43.63,Three
Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,39.13,One
Original Fake,Sequential Art,31.45,Three
"Grayson, Vol 3: Nemesis (Grayson #3)",Sequential Art,42.72,One
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,45.17,Two
"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,49.31,One
Awkward,Sequential Art,38.02,Two
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Sequential Art,54.81,One
"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,11.75,Three
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,11.64,Five
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,18.51,Four
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Sequential Art,36.52,Two
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Sequential Art,54.12,Three
The Complete Maus (Maus #1-2),Sequential Art,10.64,Three
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Sequential Art,42.12,Three
"Saga, Volume 1 (Saga (Collected Editions) #1)",Sequential Art,28.48,One
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Sequential Art,46.96,Five
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Sequential Art,21.71,Four
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Sequential Art,29.87,Three
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Sequential Art,39.39,Four
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Sequential Art,45.24,Three
"Giant Days, Vol. 1 (Giant Days #1-4)",Sequential Art,56.76,Four
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Sequential Art,40.28,Five
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Sequential Art,34.65,Five
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Sequential Art,57.06,Four
The Secret Garden,Classics,15.08,Four
The Metamorphosis,Classics,28.58,One
The Pilgrim's Progress,Classics,50.26,Two
The Hound of the Baskervilles (Sherlock Holmes #5),Classics,14.82,Two
Little Women (Little Women #1),Classics,28.07,Four
Gone with the Wind,Classics,32.49,Three
Candide,Classics,58.63,Three
Animal Farm,Classics,57.22,Three
Wuthering Heights,Classics,17.73,Three
The Picture of Dorian Gray,Classics,29.7,Two
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,26.78,Four
Beowulf,Classics,38.35,Two
And Then There Were None,Classics,35.01,Two
The Story of Hong Gildong,Classics,43.19,Four
The Little Prince,Classics,45.42,Two
Sense and Sensibility,Classics,37.46,One
Of Mice and Men,Classics,47.11,Two
Emma,Classics,32.93,Two
Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics,55.53,One
Sophie's World,Philosophy,15.94,Five
