id,station_name,district,daily_passengers,station_type
s1,Station 1,Central,1373,Terminal
s2,Station 2,Central,8900,Local
s3,Station 3,Central,4120,Local
s4,Station 4,Central,2870,Local
s5,Station 5,Central,11240,Transfer
s6,Station 6,Central,3340,Local
s7,Station 7,Central,4680,Local
s8,Station 8,Central,7200,Transfer
s9,Station 9,Central,2410,Local
s10,Station 10,Central,1540,Terminal
s11,Station 11,North,980,Terminal
s12,Station 12,North,3890,Local
s13,Station 13,North,2760,Local
s14,Station 14,North,3180,Local
s15,Station 15,North,9800,Transfer
s16,Station 16,North,2540,Local
s17,Station 17,North,4410,Local
s18,Station 18,North,6800,Transfer
s19,Station 19,North,2290,Local
s20,Station 20,North,1480,Terminal
s21,Station 21,South,1200,Terminal
s22,Station 22,South,6100,Local
s23,Station 23,South,3650,Local
s24,Station 24,South,2980,Local
s25,Station 25,South,9100,Transfer
s26,Station 26,South,3370,Local
s27,Station 27,South,2140,Local
s28,Station 28,South,4020,Local
s29,Station 29,South,2680,Local
s30,Station 30,South,1320,Terminal
s31,Station 31,East,1100,Terminal
s32,Station 32,East,3510,Local
s33,Station 33,East,3090,Local
s34,Station 34,East,2740,Local
s35,Station 35,East,8700,Transfer
s36,Station 36,East,3880,Local
s37,Station 37,East,2310,Local
s38,Station 38,East,4190,Local
s39,Station 39,East,2460,Local
s40,Station 40,East,1600,Terminal
s41,Station 41,West,1050,Terminal
s42,Station 42,West,3620,Local
s43,Station 43,West,2910,Local
s44,Station 44,West,3250,Local
s45,Station 45,West,8400,Transfer
s46,Station 46,West,3480,Local
s47,Station 47,West,2180,Local
s48,Station 48,West,3960,Local
s49,Station 49,West,2530,Local
s50,Station 50,West,1250,Terminal
